,Feature 1,Feature 2,Score
0,avg_byte,var_byte,29.513999999999943
1,avg_byte,protocol,63.142
2,avg_byte,pack_exc,23.765
3,avg_byte,byte_exc,21.18099999999998
4,avg_byte,pack_push,31.124999999999986
5,avg_byte,percent_push,29.171999999999983
6,avg_byte,src_port,52.462
7,avg_byte,dst_port,49.462
8,avg_byte,std_byte,39.79699999999991
9,var_byte,protocol,13.065
10,var_byte,pack_exc,12.36
11,var_byte,byte_exc,11.776
12,var_byte,pack_push,26.196999999999978
13,var_byte,percent_push,26.17899999999998
14,var_byte,src_port,11.215
15,var_byte,dst_port,10.208
16,var_byte,std_byte,29.65999999999993
17,protocol,pack_exc,24.053
18,protocol,byte_exc,13.032
19,protocol,pack_push,30.162
20,protocol,percent_push,28.158
21,protocol,src_port,170.303
22,protocol,dst_port,177.314
23,protocol,std_byte,31.127
24,pack_exc,byte_exc,17.688
25,pack_exc,pack_push,23.52
26,pack_exc,percent_push,20.494
27,pack_exc,src_port,16.358
28,pack_exc,dst_port,13.370000000000001
29,pack_exc,std_byte,22.633
30,byte_exc,pack_push,14.622
31,byte_exc,percent_push,10.616
32,byte_exc,src_port,7.248
33,byte_exc,dst_port,5.255
34,byte_exc,std_byte,21.048999999999996
35,pack_push,percent_push,70.32099999999997
36,pack_push,src_port,24.402
37,pack_push,dst_port,24.414
38,pack_push,std_byte,44.30999999999997
39,percent_push,src_port,22.484
40,percent_push,dst_port,22.495
41,percent_push,std_byte,42.53499999999994
42,src_port,dst_port,151.9629999999999
43,src_port,std_byte,21.501
44,dst_port,std_byte,19.497
